level,text_korean,text_english,source,,원본: [스토리즈] 2607_지문 (한글타자).xlsm
1,"저는 아이가 둘 있어요.
아이들은 오늘 초콜릿을 먹었어요.
""엄마, 초콜릿이 맛있어요.
초콜릿 또 먹고 싶어요.""
""초콜릿 없어요.
다음에 먹어요.""
""초콜릿 있어요.
동생 얼굴에 있어요.""
아이는 동생 얼굴에 있는 초콜릿을 먹었어요.
너무 귀여워요.","I have two children.
The children ate chocolate today.
""Mom, the chocolate is delicious.
I want to eat chocolate again.""
""There's no chocolate.
""Let's eat (it) next time.""
""There is chocolate.
""It's on my little sibling's face.""
The child ate the chocolate that was on their younger sibling's face.
So cute.",TTMIK Stories Level 1 Articles 초콜릿을 먹어요,,
1,"저는 핸드폰을 많이 사용해요.
핸드폰으로 쇼핑을 해요.
그리고 영화, 드라마를 봐요.
게임을 해요.
아침부터 밤까지 핸드폰을 봐요.
배터리가 없어요.
그러면 저는 기분이 안 좋아요.
그리고 요즘 눈이 너무 아파요.
의사가 말했어요.
""핸드폰을 너무 많이 썼어요.
그래서 아파요.""","I use my phone a lot.
I shop using my phone.
And I watch movies and dramas.
I play games.
I look at my phone from morning to night.
There is no battery.
Then I feel bad.
And these days, my eyes hurt a lot.
The doctor said.
""You used your phone too much.
""So it hurts.""",TTMIK Stories Level 1 Articles 핸드폰을 너무 많이 썼어요,,
1,"어제 노래방에 갔어요.
노래방에서 노래했어요.
그리고 노래방에서 주스를 마셨어요.
친구는 콜라를 마셨어요.
저는 노래를 많이 했어요.
친구는 노래를 안 했어요.
춤을 췄어요.
너무 재미있었어요.
내일 또 노래방에 가고 싶어요.","I went to the karaoke yesterday.
I sang at the karaoke.
And I drank juice at the karaoke.
My friend drank cola.
I sang a lot.
My friend didn’t sing.
I danced.
It was really fun.
I want to go to the karaoke again tomorrow.",TTMIK Stories Level 1 Articles 노래방에 갔어요,,
1,"무슨 과일을 좋아해요?
저는 딸기를 아주 좋아해요.
여름에 딸기가 아주 비싸요.
그래서 자주 안 먹어요.
여름에는 딸기 아이스크림, 딸기 주스를 마셔요.
겨울에 딸기가 비싸지 않아요.
아주 싸요.
그래서 자주 먹어요.
딸기는 정말 맛있어요.","What kind of fruit do you like?
I really like strawberries.
Strawberries are very expensive in summer.
So I don't eat them often.
In the summer, I drink strawberry ice cream and strawberry juice.
Strawberries are not expensive in winter.
They are very cheap.
So I eat them often.
Strawberries are really delicious.",TTMIK Stories Level 1 Articles 딸기를 좋아해요,,
1,"어렸을 때 무슨 음식을 좋아했어요?
저는 사탕을 아주 좋아했어요.
그렇지만 엄마는 저한테 사탕을 많이 주지 않았어요.
저는 너무 슬펐어요.
지금 제 방에 사탕이 아주 많아요.
그렇지만 많이 먹지 않아요.
지금은 사탕을 좋아하지 않아요.","What kind of food did you like when you were young?
I really liked candy.
But my mom didn’t give me much candy.
I was very sad.
Now, there is a lot of candy in my room.
But I don’t eat much.
Now I don’t like candy.",TTMIK Stories Level 1 Articles 지금은 좋아하지 않아요,,
1,"한국 음식에 고추가 들어가요.
김치, 라면, 떡볶이에 고추가 들어가요.
고추는 아주 매워요.
그래서 김치, 라면, 떡볶이는 매워요.
저는 고추를 안 좋아해요.
그래서 불고기, 삼계탕, 갈비를 먹어요.
이 음식들에는 고추가 안 들어가요.","Red chili peppers are used in Korean food.
Red chili peppers are in kimchi, ramen, and tteokbokki.
Chili peppers are very spicy.
So kimchi, ramen, and tteokbokki are spicy.
I don't like chili peppers.
So I eat bulgogi, samgyetang, and galbi.
Chili peppers are not used in these foods.",TTMIK Stories Level 1 Articles 고추가 매워요,,
1,"한국에 스키장이 많이 있어요.
저는 스키를 좋아해요.
그래서 겨울에 스키장에 자주 가요.
어디 스키장에 자주 가요?
K 스키장에 자주 가요.
K 스키장이 가까워요.
서울에서 지하철을 타요.
서울에서 스키장까지 40분 걸려요.
멀지 않아요.","There are many ski resorts in Korea.
I like skiing.
So I often go to ski resorts in the winter.
Which ski resort do you go to often?
I often go to K Ski Resort.
K Ski Resort is close.
I take the subway from Seoul.
It takes 40 minutes from Seoul to the ski resort.
It’s not far.",TTMIK Stories Level 1 Articles 스키장에 가요,,
1,"책을 읽고 싶어요.
안경이 어디에 있어요?
안경이 없어요.
저는 안경을 찾아요.
안경이 화장실에 있어요?
없어요.
방에 있어요?
없어요.
엄마한테 물어요.
“엄마, 제 안경 봤어요?”
엄마가 저한테 거울을 줬어요.
저는 거울을 봤어요.
앗!
안경이 제 얼굴에 있었어요.","I want to read a book.
Where are my glasses?
I don't have my glasses.
I am looking for my glasses.
Are my glasses in the bathroom?
No, they're not (there).
Are my glasses in my room?
No, they're not (there).
I ask mom.
""Mom, did you see my glasses?""
Mom gave me a mirror.
I looked in the mirror
Oh!
The glasses were on my face.",TTMIK Stories Level 1 Articles 안경이 어디에 있어요?,,
1,"우리 할머니 무릎은 일기 예보예요.
할머니가 말해요.
“무릎이 아파. 내일 비가 올 거야.” 
그러면 정말 내일 비가 와요.
신기해요.
오늘 제 무릎이 너무 아파요.
저는 일기 예보를 봤어요.
내일 비가 와요.
제 무릎도 일기 예보가 됐어요.","My grandmother's knee is a weather forecast.
Grandma speaks.
""My knee hurts. It's going to rain tomorrow.""
Then, it really rains tomorrow.
It's amazing.
Today, my knee really hurts.
I watched the weather forecast.
It will rain tomorrow.
My knee also became a weather forecast.",TTMIK Stories Level 1 Articles 무릎이 아파요,,
1,"아침에 비가 왔어요.
그래서 우산을 썼어요.
버스를 탔어요.
회사 앞에서 내렸어요.
아! 우산을 잊었어요!
버스에 있어요!
비가 계속 와요.
우산을 다시 샀어요.
퇴근을 해요.
버스를 탔어요.
아! 이 버스에 제 우산이 있어요!
저는 이제 우산이 두 개예요.","It rained in the morning.
So, I used an umbrella.
I took the bus.
I got off in front of the company.
Ah! I forgot my umbrella!
It is on the bus!
It keeps raining.
I bought another umbrella.
I'm leaving work.
I took the bus.
Ah! My umbrella is on this bus!
Now I have two umbrellas.",TTMIK Stories Level 1 Articles 우산이 2개 있어요,,
