level,text_korean,text_english,source,parts of speech
1,나,"I, me",My First 500 Korean Words Book 1,명사
1,회사원,company employee,My First 500 Korean Words Book 1,명사
1,너무 ,"too, very",My First 500 Korean Words Book 1,부사
1,바쁘다,to be busy,My First 500 Korean Words Book 1,형용사
1,우리,"we, our",My First 500 Korean Words Book 1,명사
1,보통,"usually, usual, regular",My First 500 Korean Words Book 1,부사
1,주말,weekend,My First 500 Korean Words Book 1,명사
1,만나다,to meet,My First 500 Korean Words Book 1,동사
1,영화,movie,My First 500 Korean Words Book 1,명사
2,카페 ,cafe,My First 500 Korean Words Book 1,명사
1,매일 ,every day,My First 500 Korean Words Book 1,부사
1,일찍 ,early,My First 500 Korean Words Book 1,부사
1,일어나다,"to get up, to wake up",My First 500 Korean Words Book 1,동사
1,물,water,My First 500 Korean Words Book 1,명사
1,마시다,to drink,My First 500 Korean Words Book 1,동사
1,세수,washing one's face,My First 500 Korean Words Book 1,명사
1,옷,clothes,My First 500 Korean Words Book 1,명사
1,입다,"to wear, to put on",My First 500 Korean Words Book 1,동사
3,화장,make-up,My First 500 Korean Words Book 1,명사
1,회사,company,My First 500 Korean Words Book 1,명사
1,시험,"test, exam",My First 500 Korean Words Book 1,명사
1,의자,chair,My First 500 Korean Words Book 1,명사
1,책상,desk,My First 500 Korean Words Book 1,명사
2,더럽다,to be dirty,My First 500 Korean Words Book 1,형용사
1,위,"up, top",My First 500 Korean Words Book 1,명사
1,청소,cleaning,My First 500 Korean Words Book 1,명사
1,깨끗하다 ,to be clean,My First 500 Korean Words Book 1,형용사
1,공책,notebook,My First 500 Korean Words Book 1,명사
1,필통,pencil case,My First 500 Korean Words Book 1,명사
1,시작하다,"to begin, to start",My First 500 Korean Words Book 1,동사
3,배고프다,to be hungry,My First 500 Korean Words Book 1,형용사
2,아까,earlier,My First 500 Korean Words Book 1,부사
1,빵,bread,My First 500 Korean Words Book 1,명사
1,음료수,beverage,My First 500 Korean Words Book 1,명사
1,주다,to give,My First 500 Korean Words Book 1,동사
1,지금,now,My First 500 Korean Words Book 1,부사
3,배부르다,to be full (opposite of hungry),My First 500 Korean Words Book 1,형용사
2,졸다,to doze,My First 500 Korean Words Book 1,동사
1,선생님,teacher,My First 500 Korean Words Book 1,명사
2,무섭다,"to be scary, to be scared",My First 500 Korean Words Book 1,형용사
2,어린이,child,My First 500 Korean Words Book 1,명사
1,학교,school,My First 500 Korean Words Book 1,명사
1,가족,family,My First 500 Korean Words Book 1,명사
1,공원,park,My First 500 Korean Words Book 1,명사
1,많다,"to be a lot, to be numerous",My First 500 Korean Words Book 1,형용사
2,어른,"adult, grown-up",My First 500 Korean Words Book 1,명사
1,아기,baby,My First 500 Korean Words Book 1,명사
1,적다,"to be few, to be little",My First 500 Korean Words Book 1,형용사
3,신기하다,"to be interesting, to be fascinating",My First 500 Korean Words Book 1,형용사
1,어떻게,how,My First 500 Korean Words Book 1,부사
1,겨울 ,winter,My First 500 Korean Words Book 1,명사
1,방학,school vacation,My First 500 Korean Words Book 1,명사
1,할머니,grandmother,My First 500 Korean Words Book 1,명사
1,가다,to go,My First 500 Korean Words Book 1,동사
1,버스,bus,My First 500 Korean Words Book 1,명사
1,지하철,subway,My First 500 Korean Words Book 1,명사
1,타다,to ride,My First 500 Korean Words Book 1,동사
1,고양이,cat,My First 500 Korean Words Book 1,명사
2,동물,animal,My First 500 Korean Words Book 1,명사
1,놀다,"to hang out, to play",My First 500 Korean Words Book 1,동사
1,휴가 ,"vacation, leave",My First 500 Korean Words Book 1,명사
1,남자,man,My First 500 Korean Words Book 1,명사
1,여자,woman,My First 500 Korean Words Book 1,명사
3,샴푸,shampoo,My First 500 Korean Words Book 1,명사
3,린스,hair conditioner,My First 500 Korean Words Book 1,명사
2,속옷,underwear,My First 500 Korean Words Book 1,명사
2,양말,socks,My First 500 Korean Words Book 1,명사
3,드라이기,hairdryer,My First 500 Korean Words Book 1,명사
1,바지,pants,My First 500 Korean Words Book 1,명사
1,티셔츠,t-shirt,My First 500 Korean Words Book 1,명사
1,누나,older sister (for a boy),My First 500 Korean Words Book 1,명사
1,텔레비전,television,My First 500 Korean Words Book 1,명사
1,드라마,TV drama,My First 500 Korean Words Book 1,명사
1,뉴스,news,My First 500 Korean Words Book 1,명사
2,싸우다,"to fight, to argue",My First 500 Korean Words Book 1,동사
2,지다 ,to lose,My First 500 Korean Words Book 1,동사
1,방,room,My First 500 Korean Words Book 1,명사
1,닫다,to close,My First 500 Korean Words Book 1,동사
1,음악,music,My First 500 Korean Words Book 1,명사
1,듣다,"to listen, to hear",My First 500 Korean Words Book 1,동사
1,개 ,dog,My First 500 Korean Words Book 1,명사
1,있다 ,"to exist, to have, to be (at a place)",My First 500 Korean Words Book 1,형용사
1,이름,name,My First 500 Korean Words Book 1,명사
1,시간,time,My First 500 Korean Words Book 1,명사
1,살다,to live,My First 500 Korean Words Book 1,동사
2,죽다 ,to die,My First 500 Korean Words Book 1,동사
1,슬프다,to be sad,My First 500 Korean Words Book 1,형용사
1,동생,younger brother or sister,My First 500 Korean Words Book 1,명사
1,울다 ,to cry,My First 500 Korean Words Book 1,동사
2,눈물,tear,My First 500 Korean Words Book 1,명사
1,수영,swimming,My First 500 Korean Words Book 1,명사
2,수건,towel,My First 500 Korean Words Book 1,명사
1,가게,store,My First 500 Korean Words Book 1,명사
1,돈,money,My First 500 Korean Words Book 1,명사
1,빌리다,"to borrow, to rent",My First 500 Korean Words Book 1,동사
2,비누,soap,My First 500 Korean Words Book 1,명사
2,차갑다,to be cold,My First 500 Korean Words Book 1,형용사
2,어깨,shoulder,My First 500 Korean Words Book 1,명사
2,힘,"strength, power",My First 500 Korean Words Book 1,명사
1,가르치다,to teach,My First 500 Korean Words Book 1,동사
1,내일 ,tomorrow,My First 500 Korean Words Book 1,명사
1,친하다,to be close (with someone),My First 500 Korean Words Book 1,형용사
1,쓰다,"to write, to use, to be bitter",My First 500 Korean Words Book 1,동사
1,받다,to receive,My First 500 Korean Words Book 1,동사
1,기쁘다,"to be glad, to be happy",My First 500 Korean Words Book 1,형용사
1,선물,"present, gift",My First 500 Korean Words Book 1,명사
1,무엇,what,My First 500 Korean Words Book 1,부사
1,좋다,to be good,My First 500 Korean Words Book 1,형용사
2,귀고리,earrings,My First 500 Korean Words Book 1,명사
2,목걸이,necklace,My First 500 Korean Words Book 1,명사
1,오늘,today,My First 500 Korean Words Book 1,명사
1,생일,birthday,My First 500 Korean Words Book 1,명사
1,교실 ,classroom,My First 500 Korean Words Book 1,명사
1,먹다,to eat,My First 500 Korean Words Book 1,동사
1,친구,friend,My First 500 Korean Words Book 1,명사
1,노래,song,My First 500 Korean Words Book 1,명사
1,춤,dance,My First 500 Korean Words Book 1,명사
1,축하하다,"to congratulate, to celebrate",My First 500 Korean Words Book 1,동사
1,재미있다,to be fun,My First 500 Korean Words Book 1,형용사
1,하루,"day, one day",My First 500 Korean Words Book 1,명사
2,아빠,dad,My First 500 Korean Words Book 1,명사
1,바다,"sea, ocean",My First 500 Korean Words Book 1,명사
1,걷다,to walk,My First 500 Korean Words Book 1,동사
1,식당,restaurant,My First 500 Korean Words Book 1,명사
1,맛있다,to be delicious,My First 500 Korean Words Book 1,형용사
1,음식,food,My First 500 Korean Words Book 1,명사
1,커피,coffee,My First 500 Korean Words Book 1,명사
2,별,star,My First 500 Korean Words Book 1,명사
1,보다,"to see, to watch, to meet",My First 500 Korean Words Book 1,동사
2,행복하다,to be happy,My First 500 Korean Words Book 1,형용사
1,여름,summer,My First 500 Korean Words Book 1,명사
1,싫어하다 ,"to dislike, to hate",My First 500 Korean Words Book 1,동사
1,덥다,to be hot,My First 500 Korean Words Book 1,형용사
1,밖,outside,My First 500 Korean Words Book 1,명사
1,나가다,to go out,My First 500 Korean Words Book 1,동사
1,집,"house, home",My First 500 Korean Words Book 1,명사
1,에어컨,air conditioner,My First 500 Korean Words Book 1,명사
1,켜다,to turn on,My First 500 Korean Words Book 1,동사
1,시원하다,to be cool (temperature),My First 500 Korean Words Book 1,형용사
2,얼음 ,ice,My First 500 Korean Words Book 1,명사
2,벌써,already,My First 500 Korean Words Book 1,부사
1,밤,night,My First 500 Korean Words Book 1,명사
1,침대,bed,My First 500 Korean Words Book 1,명사
2,눕다,to lie down,My First 500 Korean Words Book 1,동사
1,잠,sleep,My First 500 Korean Words Book 1,명사
1,화장실,bathroom,My First 500 Korean Words Book 1,명사
1,책,book,My First 500 Korean Words Book 1,명사
1,읽다,to read,My First 500 Korean Words Book 1,동사
2,냉장고,refrigerator,My First 500 Korean Words Book 1,명사
1,우유,milk,My First 500 Korean Words Book 1,명사
1,컵,cup,My First 500 Korean Words Book 1,명사
2,뜨겁다,to be hot,My First 500 Korean Words Book 1,형용사
1,컴퓨터,computer,My First 500 Korean Words Book 1,명사
3,이메일,e-mail,My First 500 Korean Words Book 1,명사
3,노트북,laptop computer,My First 500 Korean Words Book 1,명사
3,충전하다,to charge,My First 500 Korean Words Book 1,동사
2,중요하다,to be important,My First 500 Korean Words Book 1,형용사
2,거울,mirror,My First 500 Korean Words Book 1,명사
2,화장품,make-up product,My First 500 Korean Words Book 1,명사
2,바르다,"to apply, to put on",My First 500 Korean Words Book 1,동사
1,옆,"side, next to",My First 500 Korean Words Book 1,명사
2,부부,married couple,My First 500 Korean Words Book 1,명사
1,초대,invitation,My First 500 Korean Words Book 1,명사
1,오후,afternoon,My First 500 Korean Words Book 1,명사
1,도착,arrival,My First 500 Korean Words Book 1,명사
1,딸,daughter,My First 500 Korean Words Book 1,명사
2,나이,age,My First 500 Korean Words Book 1,명사
1,같다,"to be the same, to be like",My First 500 Korean Words Book 1,형용사
2,유치원,kindergarten,My First 500 Korean Words Book 1,명사
1,사이,"relationship, relation",My First 500 Korean Words Book 1,명사
2,아들 ,son,My First 500 Korean Words Book 1,명사
1,게임,game,My First 500 Korean Words Book 1,명사
1,요일,day of the week,My First 500 Korean Words Book 1,명사
1,아침,morning,My First 500 Korean Words Book 1,명사
1,점심,lunch,My First 500 Korean Words Book 1,명사
1,밥,"rice, food, meal",My First 500 Korean Words Book 1,명사
2,화나다,"to feel angry, to get angry",My First 500 Korean Words Book 1,동사
2,걱정,"worry, concern",My First 500 Korean Words Book 1,명사
1,왜,why,My First 500 Korean Words Book 1,부사
1,공부,study,My First 500 Korean Words Book 1,명사
2,느낌,feeling,My First 500 Korean Words Book 1,명사
2,달력,calendar,My First 500 Korean Words Book 1,명사
1,날짜,date,My First 500 Korean Words Book 1,명사
2,모양,shape,My First 500 Korean Words Book 1,명사
1,아래 ,"down, below",My First 500 Korean Words Book 1,명사
1,전화번호 ,phone number,My First 500 Korean Words Book 1,명사
2,잊어버리다 ,to forget,My First 500 Korean Words Book 1,동사
1,빨리,"fast, quickly",My First 500 Korean Words Book 1,부사
2,예약 ,reservation,My First 500 Korean Words Book 1,명사
1,출발하다,to depart,My First 500 Korean Words Book 1,동사
2,시골,countryside,My First 500 Korean Words Book 1,명사
2,도시,city,My First 500 Korean Words Book 1,명사
2,시끄럽다,to be noisy,My First 500 Korean Words Book 1,형용사
1,조용하다,to be quiet,My First 500 Korean Words Book 1,형용사
1,등산,hiking,My First 500 Korean Words Book 1,명사
1,높다 ,to be high,My First 500 Korean Words Book 1,형용사
1,낮다,to be low,My First 500 Korean Words Book 1,형용사
2,해,the sun,My First 500 Korean Words Book 1,명사
2,어둡다,to be dark,My First 500 Korean Words Book 1,형용사
2,내려가다,to go down,My First 500 Korean Words Book 1,동사
2,연예인,"entertainer, celebrity",My First 500 Korean Words Book 1,명사
1,누구,who,My First 500 Korean Words Book 1,부사
1,키,one's height,My First 500 Korean Words Book 1,명사
1,크다,to be big,My First 500 Korean Words Book 1,형용사
1,웃다,"to laugh, to smile",My First 500 Korean Words Book 1,동사
1,얼굴,face,My First 500 Korean Words Book 1,명사
2,귀엽다,to be cute,My First 500 Korean Words Book 1,형용사
1,눈1,eye,My First 500 Korean Words Book 1,명사
1,다리,leg,My First 500 Korean Words Book 1,명사
1,길다,to be long,My First 500 Korean Words Book 1,형용사
1,언니,older sister (for a girl),My First 500 Korean Words Book 1,명사
1,같이,together,My First 500 Korean Words Book 1,부사
1,여행,travel,My First 500 Korean Words Book 1,명사
1,비행기,airplane,My First 500 Korean Words Book 1,명사
1,처음,"beginning, for the first time",My First 500 Korean Words Book 1,명사
1,창문,window,My First 500 Korean Words Book 1,명사
1,앉다,to sit,My First 500 Korean Words Book 1,동사
1,이따가,later,My First 500 Korean Words Book 1,부사
2,하늘,sky,My First 500 Korean Words Book 1,명사
2,구름,cloud,My First 500 Korean Words Book 1,명사
2,연락,"contact, contacting",My First 500 Korean Words Book 1,명사
1,도와주다,to help,My First 500 Korean Words Book 1,동사
1,층,floor,My First 500 Korean Words Book 1,명사
2,엘리베이터,elevator,My First 500 Korean Words Book 1,명사
1,무겁다,to be heavy,My First 500 Korean Words Book 1,형용사
2,상자,box,My First 500 Korean Words Book 1,명사
1,들다,"to lift, to carry",My First 500 Korean Words Book 1,동사
1,넣다 ,to put in,My First 500 Korean Words Book 1,동사
2,좁다 ,to be narrow,My First 500 Korean Words Book 1,형용사
2,빼다 ,"to take out, to pull out",My First 500 Korean Words Book 1,동사
2,이사,moving,My First 500 Korean Words Book 1,명사
1,혼자,alone,My First 500 Korean Words Book 1,부사
1,멋있다,"to be cool, to be awesome",My First 500 Korean Words Book 1,형용사
1,거실,living room,My First 500 Korean Words Book 1,명사
2,벽,wall,My First 500 Korean Words Book 1,명사
1,그림,"painting, drawing, picture",My First 500 Korean Words Book 1,명사
2,시계,clock,My First 500 Korean Words Book 1,명사
1,부엌,kitchen,My First 500 Korean Words Book 1,명사
1,만들다,to make,My First 500 Korean Words Book 1,동사
2,지우다 ,"to erase, to wash off",My First 500 Korean Words Book 1,동사
1,씻다,to wash,My First 500 Korean Words Book 1,동사
3,버섯,mushroom,My First 500 Korean Words Book 1,명사
3,당근,carrot,My First 500 Korean Words Book 1,명사
1,부르다 ,to call,My First 500 Korean Words Book 1,동사
1,다,"all, every",My First 500 Korean Words Book 1,동사
1,산책 ,walk,My First 500 Korean Words Book 1,명사
2,밝다,to be bright,My First 500 Korean Words Book 1,형용사
2,편하다 ,to be comfortable,My First 500 Korean Words Book 1,형용사
1,감사,gratitude,My First 500 Korean Words Book 1,명사
2,꿈,dream,My First 500 Korean Words Book 1,명사
1,사진,photo,My First 500 Korean Words Book 1,명사
1,배우다,to learn,My First 500 Korean Words Book 1,동사
1,카메라,camera,My First 500 Korean Words Book 1,명사
1,가격,price,My First 500 Korean Words Book 1,명사
1,비싸다,to be expensive,My First 500 Korean Words Book 1,형용사
2,휴대폰,"mobile phone, cell phone",My First 500 Korean Words Book 1,명사
1,찍다,"to take, to film",My First 500 Korean Words Book 1,동사
1,연습하다,to practice,My First 500 Korean Words Book 1,동사
1,유명하다,to be famous,My First 500 Korean Words Book 1,형용사
1,봄 ,spring (season),My First 500 Korean Words Book 1,명사
1,오다,to come,My First 500 Korean Words Book 1,동사
1,날씨,weather,My First 500 Korean Words Book 1,명사
1,따뜻하다,to be warm,My First 500 Korean Words Book 1,형용사
1,예쁘다,to be pretty,My First 500 Korean Words Book 1,형용사
1,꽃 ,flower,My First 500 Korean Words Book 1,명사
1,딸기 ,strawberry,My First 500 Korean Words Book 1,명사
2,빨간색 ,red (color),My First 500 Korean Words Book 1,명사
1,좋아하다,to like,My First 500 Korean Words Book 1,동사
1,과일,fruit,My First 500 Korean Words Book 1,명사
1,기다리다 ,to wait,My First 500 Korean Words Book 1,동사
1,눈2,snow,My First 500 Korean Words Book 1,명사
1,바람,wind,My First 500 Korean Words Book 1,명사
1,춥다,to be cold,My First 500 Korean Words Book 1,형용사
1,자주,often,My First 500 Korean Words Book 1,부사
1,안,inside,My First 500 Korean Words Book 1,부사
1,전화하다,"to call, to telephone",My First 500 Korean Words Book 1,동사
1,알다,to know,My First 500 Korean Words Book 1,동사
2,장갑,glove,My First 500 Korean Words Book 1,명사
2,목도리,scarf,My First 500 Korean Words Book 1,명사
1,잘하다,to be good at something,My First 500 Korean Words Book 1,동사
1,맛,taste,My First 500 Korean Words Book 1,명사
1,못하다 ,to be bad at something,My First 500 Korean Words Book 1,동사
1,사랑,love,My First 500 Korean Words Book 1,명사
3,양파,onion,My First 500 Korean Words Book 1,명사
2,감자,potato,My First 500 Korean Words Book 1,명사
2,칼,knife,My First 500 Korean Words Book 1,명사
2,썰다,"to chop, to cut",My First 500 Korean Words Book 1,동사
2,손가락,finger,My First 500 Korean Words Book 1,명사
2,배달,delivery,My First 500 Korean Words Book 1,명사
1,손님,guest,My First 500 Korean Words Book 1,명사
2,빨래,laundry,My First 500 Korean Words Book 1,명사
2,설거지,doing the dishes,My First 500 Korean Words Book 1,명사
2,이불,blanket,My First 500 Korean Words Book 1,명사
3,베개,pillow,My First 500 Korean Words Book 1,명사
2,쓰레기 ,trash,My First 500 Korean Words Book 1,명사
2,버리다,to throw away,My First 500 Korean Words Book 1,동사
1,시장,market,My First 500 Korean Words Book 1,명사
2,과자,snack,My First 500 Korean Words Book 1,명사
1,준비하다,to prepare,My First 500 Korean Words Book 1,동사
1,인터넷,the Internet,My First 500 Korean Words Book 1,명사
1,치마,skirt,My First 500 Korean Words Book 1,명사
2,주문하다,to order,My First 500 Korean Words Book 1,동사
2,실패,failure,My First 500 Korean Words Book 1,명사
1,작다,to be small,My First 500 Korean Words Book 1,형용사
1,쇼핑,shopping,My First 500 Korean Words Book 1,명사
1,어렵다,"to be difficult, to be hard",My First 500 Korean Words Book 1,형용사
2,성공,success,My First 500 Korean Words Book 1,명사
1,다음,next,My First 500 Korean Words Book 1,명사
1,모자,"hat, cap",My First 500 Korean Words Book 1,명사
1,약속,"promise, plan, appointment",My First 500 Korean Words Book 1,명사
1,늦다,to be late,My First 500 Korean Words Book 1,형용사
1,택시,"taxi, cab",My First 500 Korean Words Book 1,명사
3,오토바이,motorcycle,My First 500 Korean Words Book 1,명사
2,사고 ,accident,My First 500 Korean Words Book 1,명사
2,경찰,police,My First 500 Korean Words Book 1,명사
3,문자,text message,My First 500 Korean Words Book 1,명사
1,보내다,"to send, to spend",My First 500 Korean Words Book 1,동사
2,허리 ,"lower back, waist",My First 500 Korean Words Book 1,명사
1,조금,"a little, a bit",My First 500 Korean Words Book 1,명사
1,가수,singer,My First 500 Korean Words Book 1,명사
2,인기,popularity,My First 500 Korean Words Book 1,명사
1,나라,"country, nation",My First 500 Korean Words Book 1,명사
1,한국어,Korean (language),My First 500 Korean Words Book 1,명사
1,필요하다 ,"to need, to be necessary",My First 500 Korean Words Book 1,형용사
1,단어,word,My First 500 Korean Words Book 1,명사
1,귀,ear,My First 500 Korean Words Book 1,명사
2,지도 ,map,My First 500 Korean Words Book 1,명사
1,주소,address,My First 500 Korean Words Book 1,명사
2,궁금하다,to be curious,My First 500 Korean Words Book 1,형용사
1,문,door,My First 500 Korean Words Book 1,명사
1,열다,to open,My First 500 Korean Words Book 1,동사
1,감기,cold,My First 500 Korean Words Book 1,명사
1,열,fever,My First 500 Korean Words Book 1,명사
1,코,nose,My First 500 Korean Words Book 1,명사
1,나오다,to come out,My First 500 Korean Words Book 1,동사
1,약국,pharmacy,My First 500 Korean Words Book 1,명사
1,약,medicine,My First 500 Korean Words Book 1,명사
2,차,tea,My First 500 Korean Words Book 1,명사
1,건강,health,My First 500 Korean Words Book 1,명사
1,사과,apple,My First 500 Korean Words Book 1,명사
1,바나나,banana,My First 500 Korean Words Book 1,명사
1,일하다 ,to work,My First 500 Korean Words Book 1,동사
2,오이,cucumber,My First 500 Korean Words Book 1,명사
2,토마토,tomato,My First 500 Korean Words Book 1,명사
1,배,"belly, stomach",My First 500 Korean Words Book 1,명사
1,마음,"mind, heart",My First 500 Korean Words Book 1,명사
2,약하다,to be weak,My First 500 Korean Words Book 1,형용사
3,몸무게 ,body weight,My First 500 Korean Words Book 1,명사
3,절대 ,absolutely,My First 500 Korean Words Book 1,부사
1,어제 ,yesterday,My First 500 Korean Words Book 1,명사
1,운동,exercise,My First 500 Korean Words Book 1,명사
2,넘어지다,to fall down,My First 500 Korean Words Book 1,동사
1,손,hand,My First 500 Korean Words Book 1,명사
2,다치다,to get hurt,My First 500 Korean Words Book 1,동사
1,아프다,"to be sick, to hurt",My First 500 Korean Words Book 1,형용사
1,병원 ,hospital,My First 500 Korean Words Book 1,명사
1,의사 ,doctor,My First 500 Korean Words Book 1,명사
1,쉬다,to rest,My First 500 Korean Words Book 1,동사
1,힘들다,"to be difficult, to be tiring",My First 500 Korean Words Book 1,형용사
1,학생,student,My First 500 Korean Words Book 1,명사
1,자전거,bicycle,My First 500 Korean Words Book 1,명사
1,다니다,"to attend, to go to (regularly)",My First 500 Korean Words Book 1,동사
1,비,rain,My First 500 Korean Words Book 1,명사
1,우산,umbrella,My First 500 Korean Words Book 1,명사
1,없다,"to not have, to not be, to not exist",My First 500 Korean Words Book 1,형용사
1,신발,shoe,My First 500 Korean Words Book 1,명사
2,벗다,to take off (clothing),My First 500 Korean Words Book 1,동사
1,발,foot,My First 500 Korean Words Book 1,명사
2,목욕,bath,My First 500 Korean Words Book 1,명사
1,오빠 ,older brother (for a girl),My First 500 Korean Words Book 1,명사
2,가끔,sometimes,My First 500 Korean Words Book 1,부사
2,거짓말,lie,My First 500 Korean Words Book 1,명사
2,짜증,"frustration, anger, irritation",My First 500 Korean Words Book 1,명사
1,오전,"morning, before noon",My First 500 Korean Words Book 1,명사
1,머리,"head, hair",My First 500 Korean Words Book 1,명사
3,벌레,"bug, worm",My First 500 Korean Words Book 1,명사
2,놀라다,to be surprised,My First 500 Korean Words Book 1,동사
1,싫다,"to hate, to dislike, to be displeasing",My First 500 Korean Words Book 1,형용사
2,이상하다,"to be strange, to be weird",My First 500 Korean Words Book 1,형용사
1,저녁,evening,My First 500 Korean Words Book 1,명사
2,엄마,mom,My First 500 Korean Words Book 1,명사
2,마트,supermarket,My First 500 Korean Words Book 1,명사
1,고기,meat,My First 500 Korean Words Book 1,명사
1,사다,to buy,My First 500 Korean Words Book 1,동사
2,생선,fish,My First 500 Korean Words Book 1,명사
2,채소,vegetable,My First 500 Korean Words Book 1,명사
1,말하다,"to talk, to speak",My First 500 Korean Words Book 1,동사
2,달걀,egg,My First 500 Korean Words Book 1,명사
1,요리,"cooking, food, dish",My First 500 Korean Words Book 1,명사
1,할아버지,"grandfather, old man",My First 500 Korean Words Book 1,명사
1,산,mountain,My First 500 Korean Words Book 1,명사
1,올라가다,to go up,My First 500 Korean Words Book 1,동사
2,믿다,"to trust, to believe",My First 500 Korean Words Book 1,동사
1,사람,"person, people",My First 500 Korean Words Book 1,명사
2,새 ,bird,My First 500 Korean Words Book 1,명사
1,나무 ,"tree, wood",My First 500 Korean Words Book 1,명사
2,냄새 ,smell,My First 500 Korean Words Book 1,명사
1,몸,body,My First 500 Korean Words Book 1,명사
2,움직이다,to move,My First 500 Korean Words Book 1,동사
1,공항,airport,My First 500 Korean Words Book 1,명사
1,넓다,"to be spacious, to be wide",My First 500 Korean Words Book 1,형용사
1,길,"road, street",My First 500 Korean Words Book 1,명사
2,잃어버리다 ,"to lose, to misplace",My First 500 Korean Words Book 1,동사
1,여기,here,My First 500 Korean Words Book 1,명사
1,어디,where,My First 500 Korean Words Book 1,부사
1,서점,bookstore,My First 500 Korean Words Book 1,명사
1,들어가다,to enter,My First 500 Korean Words Book 1,동사
2,물어보다,to ask,My First 500 Korean Words Book 1,동사
1,찾다,to find,My First 500 Korean Words Book 1,동사
1,대학교 ,"university, college",My First 500 Korean Words Book 1,명사
1,역,station,My First 500 Korean Words Book 1,명사
1,가깝다,to be close,My First 500 Korean Words Book 1,형용사
1,오른쪽,"right side, right-hand side",My First 500 Korean Words Book 1,명사
1,은행,bank,My First 500 Korean Words Book 1,명사
1,왼쪽,"left side, left-hand side",My First 500 Korean Words Book 1,명사
1,편의점,convenience store,My First 500 Korean Words Book 1,명사
1,앞,front,My First 500 Korean Words Book 1,명사
2,건너다,to cross,My First 500 Korean Words Book 1,동사
1,다시 ,again,My First 500 Korean Words Book 1,부사
2,색깔,color,My First 500 Korean Words Book 1,명사
2,검은색,black,My First 500 Korean Words Book 1,명사
1,지갑,wallet,My First 500 Korean Words Book 1,명사
1,자동차,car,My First 500 Korean Words Book 1,명사
1,가방,bag,My First 500 Korean Words Book 1,명사
1,언제,when,My First 500 Korean Words Book 1,부사
1,모르다,to not know,My First 500 Korean Words Book 1,동사
1,형,older brother (for a boy),My First 500 Korean Words Book 1,명사
2,하얀색,white,My First 500 Korean Words Book 1,명사
1,다르다,to be different,My First 500 Korean Words Book 1,형용사
2,착하다,"to be nice, to be kind-hearted",My First 500 Korean Words Book 1,형용사
2,문제,"problem, matter",My First 500 Korean Words Book 1,명사
1,연필,pencil,My First 500 Korean Words Book 1,명사
1,빌려주다 ,to lend,My First 500 Korean Words Book 1,동사
1,펜,pen,My First 500 Korean Words Book 1,명사
1,또,again,My First 500 Korean Words Book 1,부사
1,이유,reason,My First 500 Korean Words Book 1,명사
3,미치다,"to be crazy, to go crazy",My First 500 Korean Words Book 1,동사
1,나쁘다 ,to be bad,My First 500 Korean Words Book 1,형용사
1,아니다 ,to not be,My First 500 Korean Words Book 1,형용사
2,결혼,"marriage, wedding",My First 500 Korean Words Book 1,명사
3,식물,plant,My First 500 Korean Words Book 1,명사
1,카드,card,My First 500 Korean Words Book 1,명사
2,정하다,"to decide, to choose",My First 500 Korean Words Book 1,동사
1,싸다,to be cheap,My First 500 Korean Words Book 1,동사
2,끓이다,to boil,My First 500 Korean Words Book 1,동사
1,달다,to be sweet,My First 500 Korean Words Book 1,동사
3,실망,disappointment,My First 500 Korean Words Book 1,명사
1,계획,plan,My First 500 Korean Words Book 1,명사
1,팔다,to sell,My First 500 Korean Words Book 1,동사
3,털,"fur, hair",My First 500 Korean Words Book 1,명사
2,반지 ,ring,My First 500 Korean Words Book 1,명사
2,짧다,to be short,My First 500 Korean Words Book 1,형용사
1,때,"time, when",My First 500 Korean Words Book 1,명사
2,라디오,radio,My First 500 Korean Words Book 1,명사
2,유리,glass,My First 500 Korean Words Book 1,명사
1,신문,newspaper,My First 500 Korean Words Book 1,명사
2,종이,paper,My First 500 Korean Words Book 1,명사
1,인사,greeting,My First 500 Korean Words Book 1,명사
3,쌍둥이,twin,My First 500 Korean Words Book 1,명사
2,어리다,to be young,My First 500 Korean Words Book 1,형용사
2,비슷하다,to be similar,My First 500 Korean Words Book 1,형용사
1,생각하다,to think,My First 500 Korean Words Book 1,동사
1,쉽다,to be easy,My First 500 Korean Words Book 1,형용사
1,안경,glasses,My First 500 Korean Words Book 1,명사
